,Survived,Pclass,SibSp,Parch,Single,SmallF,MedF,LargeF,Sex_code,Embarked_code,Title_code,AgeBin_code,FareBin_code,AClassBin_code
42,0,3,0,0,1,0,0,0,1,0,2,1,0,3
43,1,2,1,2,0,0,1,0,0,0,1,0,3,0
44,1,3,0,0,1,0,0,0,0,1,1,1,0,2
45,0,3,0,0,1,0,0,0,1,2,2,1,1,3
46,0,3,1,0,0,1,0,0,1,1,2,1,2,3
47,1,3,0,0,1,0,0,0,0,1,1,1,0,3
48,0,3,2,0,0,0,1,0,1,0,2,1,2,3
49,0,3,1,0,0,1,0,0,0,2,3,1,2,1
50,0,3,4,1,0,0,0,1,1,2,0,0,3,0
51,0,3,0,0,1,0,0,0,1,2,2,1,0,2
52,1,1,1,0,0,1,0,0,0,0,3,3,3,1
53,1,2,1,0,0,1,0,0,0,2,3,1,2,2
54,0,1,0,1,0,1,0,0,1,0,2,4,3,2
55,1,1,0,0,1,0,0,0,1,2,2,1,3,0
56,1,2,0,0,1,0,0,0,0,2,1,1,1,1
57,0,3,0,0,1,0,0,0,1,0,2,1,0,4
58,1,2,1,2,0,0,1,0,0,2,1,0,2,0
59,0,3,5,2,0,0,0,1,1,2,0,0,3,0
60,0,3,0,0,1,0,0,0,1,0,2,1,0,2
61,1,1,0,0,1,0,0,0,0,2,1,2,3,1
62,0,1,1,0,0,1,0,0,1,2,2,2,3,1
63,0,3,3,2,0,0,0,1,1,2,0,0,2,0
64,0,1,0,0,1,0,0,0,1,0,2,1,2,0
65,1,3,1,1,0,0,1,0,1,0,0,1,2,3
66,1,2,0,0,1,0,0,0,0,2,3,1,1,2
67,0,3,0,0,1,0,0,0,1,2,2,1,1,2
68,1,3,4,2,0,0,0,1,0,2,1,1,1,1
69,0,3,2,0,0,0,1,0,1,2,2,1,1,3
70,0,2,0,0,1,0,0,0,1,2,2,1,1,2
71,0,3,5,2,0,0,0,1,0,2,1,0,3,1
72,0,2,0,0,1,0,0,0,1,2,2,1,3,1
73,0,3,1,0,0,1,0,0,1,0,2,1,1,3
74,1,3,0,0,1,0,0,0,1,2,2,1,3,4
75,0,3,0,0,1,0,0,0,1,2,2,1,0,3
76,0,3,0,0,1,0,0,0,1,2,2,1,0,3
77,0,3,0,0,1,0,0,0,1,2,2,1,1,3
78,1,2,0,2,0,0,1,0,1,2,0,0,2,0
79,1,3,0,0,1,0,0,0,0,2,1,1,1,4
80,0,3,0,0,1,0,0,0,1,2,2,1,1,2
81,1,3,0,0,1,0,0,0,1,2,2,1,1,4
82,1,3,0,0,1,0,0,0,0,1,1,1,0,3
83,0,1,0,0,1,0,0,0,1,2,2,1,3,0
84,1,2,0,0,1,0,0,0,0,2,1,1,1,0
85,1,3,3,0,0,0,1,0,0,2,3,2,2,4
86,0,3,1,3,0,0,0,1,1,2,2,0,3,1
87,0,3,0,0,1,0,0,0,1,2,2,1,1,3
88,1,1,3,2,0,0,0,1,0,2,1,1,3,0
89,0,3,0,0,1,0,0,0,1,2,2,1,1,2
90,0,3,0,0,1,0,0,0,1,2,2,1,1,4
91,0,3,0,0,1,0,0,0,1,2,2,1,0,2
92,0,1,1,0,0,1,0,0,1,2,2,2,3,1
93,0,3,1,2,0,0,1,0,1,2,2,1,2,3
94,0,3,0,0,1,0,0,0,1,2,2,3,0,4
95,0,3,0,0,1,0,0,0,1,2,2,1,1,3
96,0,1,0,0,1,0,0,0,1,0,2,4,3,2
97,1,1,0,1,0,1,0,0,1,0,2,1,3,0
98,1,2,0,1,0,1,0,0,0,2,3,2,2,2
99,0,2,1,0,0,1,0,0,1,2,2,2,2,2
100,0,3,0,0,1,0,0,0,0,2,1,1,0,3
101,0,3,0,0,1,0,0,0,1,2,2,1,0,3
102,0,1,0,1,0,1,0,0,1,2,2,1,3,0
103,0,3,0,0,1,0,0,0,1,2,2,2,1,4
104,0,3,2,0,0,0,1,0,1,2,2,2,1,4
105,0,3,0,0,1,0,0,0,1,2,2,1,0,3
106,1,3,0,0,1,0,0,0,0,2,1,1,0,2
107,1,3,0,0,1,0,0,0,1,2,2,1,0,3
108,0,3,0,0,1,0,0,0,1,2,2,2,0,4
109,1,3,1,0,0,1,0,0,0,1,1,1,2,3
110,0,1,0,0,1,0,0,0,1,2,2,2,3,1
111,0,3,1,0,0,1,0,0,0,0,1,0,1,1
112,0,3,0,0,1,0,0,0,1,2,2,1,1,2
113,0,3,1,0,0,1,0,0,0,2,1,1,1,2
114,0,3,0,0,1,0,0,0,0,0,1,1,2,1
115,0,3,0,0,1,0,0,0,1,2,2,1,1,2
116,0,3,0,0,1,0,0,0,1,1,2,4,0,4
117,0,2,1,0,0,1,0,0,1,2,2,1,2,2
118,0,1,0,1,0,1,0,0,1,0,2,1,3,0
119,0,3,4,2,0,0,0,1,0,2,1,0,3,0
120,0,2,2,0,0,0,1,0,1,2,2,1,3,1
121,0,3,0,0,1,0,0,0,1,2,2,1,1,3
122,0,2,1,0,0,1,0,0,1,0,2,2,2,2
123,1,2,0,0,1,0,0,0,0,2,1,2,1,2
124,0,1,0,1,0,1,0,0,1,2,2,3,3,1
125,1,3,1,0,0,1,0,0,1,0,0,0,1,1
126,0,3,0,0,1,0,0,0,1,1,2,1,0,3
127,1,3,0,0,1,0,0,0,1,2,2,1,0,2
128,1,3,1,1,0,0,1,0,0,0,1,1,2,3
129,0,3,0,0,1,0,0,0,1,2,2,2,0,4
130,0,3,0,0,1,0,0,0,1,0,2,2,0,4
131,0,3,0,0,1,0,0,0,1,2,2,1,0,2
132,0,3,1,0,0,1,0,0,0,2,3,2,2,4
133,1,2,1,0,0,1,0,0,0,2,3,1,2,2
134,0,2,0,0,1,0,0,0,1,2,2,1,1,1
135,0,2,0,0,1,0,0,0,1,0,2,1,2,1
136,1,1,0,2,0,0,1,0,0,2,1,1,2,0
137,0,1,1,0,0,1,0,0,1,2,2,2,3,1
138,0,3,0,0,1,0,0,0,1,2,2,0,1,1
139,0,1,0,0,1,0,0,0,1,0,2,1,3,0
140,0,3,0,2,0,0,1,0,0,0,3,1,2,3
141,1,3,0,0,1,0,0,0,0,2,1,1,0,2
142,1,3,1,0,0,1,0,0,0,2,3,1,2,2
143,0,3,0,0,1,0,0,0,1,1,2,1,0,2
144,0,2,0,0,1,0,0,0,1,2,2,1,1,1
145,0,2,1,1,0,0,1,0,1,2,2,1,3,1
146,1,3,0,0,1,0,0,0,1,2,2,1,0,3
147,0,3,2,2,0,0,0,1,0,2,1,0,3,0
148,0,2,0,2,0,0,1,0,1,2,2,2,2,3
149,0,2,0,0,1,0,0,0,1,2,4,2,1,3
150,0,2,0,0,1,0,0,0,1,2,4,3,1,4
151,1,1,1,0,0,1,0,0,0,2,3,1,3,0
152,0,3,0,0,1,0,0,0,1,2,2,3,1,4
153,0,3,0,2,0,0,1,0,1,2,2,2,2,4
154,0,3,0,0,1,0,0,0,1,2,2,1,0,3
155,0,1,0,1,0,1,0,0,1,0,2,3,3,1
156,1,3,0,0,1,0,0,0,0,1,1,0,0,1
157,0,3,0,0,1,0,0,0,1,2,2,1,1,4
158,0,3,0,0,1,0,0,0,1,2,2,1,1,3
159,0,3,8,2,0,0,0,1,1,2,0,1,3,3
160,0,3,0,1,0,1,0,0,1,2,2,2,2,4
161,1,2,0,0,1,0,0,0,0,2,3,2,2,3
162,0,3,0,0,1,0,0,0,1,2,2,1,0,3
163,0,3,0,0,1,0,0,0,1,2,2,1,1,1
164,0,3,4,1,0,0,0,1,1,2,0,0,3,0
165,1,3,0,2,0,0,1,0,1,2,0,0,2,0
166,1,1,0,1,0,1,0,0,0,2,3,1,3,0
167,0,3,1,4,0,0,0,1,0,2,3,2,2,4
168,0,1,0,0,1,0,0,0,1,2,2,1,2,0
169,0,3,0,0,1,0,0,0,1,2,2,1,3,3
170,0,1,0,0,1,0,0,0,1,2,2,3,3,2
171,0,3,4,1,0,0,0,1,1,1,0,0,2,0
172,1,3,1,1,0,0,1,0,0,2,1,0,1,0
173,0,3,0,0,1,0,0,0,1,2,2,1,1,2
174,0,1,0,0,1,0,0,0,1,0,2,3,2,2
175,0,3,1,1,0,0,1,0,1,2,2,1,0,1
176,0,3,3,1,0,0,0,1,1,2,0,1,2,3
177,0,1,0,0,1,0,0,0,0,0,1,3,2,1
178,0,2,0,0,1,0,0,0,1,2,2,1,1,2
179,0,3,0,0,1,0,0,0,1,2,2,2,0,4
180,0,3,8,2,0,0,0,1,0,2,1,1,3,3
181,0,2,0,0,1,0,0,0,1,0,2,1,2,2
182,0,3,4,2,0,0,0,1,1,2,0,0,3,0
183,1,2,2,1,0,0,1,0,1,2,0,0,3,0
184,1,3,0,2,0,0,1,0,0,2,1,0,2,0
185,0,1,0,0,1,0,0,0,1,2,2,1,3,0
186,1,3,1,0,0,1,0,0,0,1,3,1,2,3
187,1,1,0,0,1,0,0,0,1,2,2,2,2,1
188,0,3,1,1,0,0,1,0,1,1,2,2,2,4
189,0,3,0,0,1,0,0,0,1,2,2,2,0,4
190,1,2,0,0,1,0,0,0,0,2,3,1,1,2
191,0,2,0,0,1,0,0,0,1,2,2,1,1,1
192,1,3,1,0,0,1,0,0,0,2,1,1,0,2
193,1,2,1,1,0,0,1,0,1,2,0,0,2,0
194,1,1,0,0,1,0,0,0,0,0,3,2,2,1
195,1,1,0,0,1,0,0,0,0,0,1,3,3,2
196,0,3,0,0,1,0,0,0,1,1,2,1,0,3
197,0,3,0,1,0,1,0,0,1,2,2,2,1,4
198,1,3,0,0,1,0,0,0,0,1,1,1,0,3
199,0,2,0,0,1,0,0,0,0,2,1,1,1,1
200,0,3,0,0,1,0,0,0,1,2,2,1,1,3
201,0,3,8,2,0,0,0,1,1,2,2,1,3,3
202,0,3,0,0,1,0,0,0,1,2,2,2,0,4
203,0,3,0,0,1,0,0,0,1,0,2,2,0,4
204,1,3,0,0,1,0,0,0,1,2,2,1,1,1
205,0,3,0,1,0,1,0,0,0,2,1,0,1,0
206,0,3,1,0,0,1,0,0,1,2,2,1,2,4
207,1,3,0,0,1,0,0,0,1,0,2,1,2,3
208,1,3,0,0,1,0,0,0,0,1,1,0,0,1
209,1,1,0,0,1,0,0,0,1,0,2,2,2,1
210,0,3,0,0,1,0,0,0,1,2,2,1,0,2
211,1,2,0,0,1,0,0,0,0,2,1,2,2,2
212,0,3,0,0,1,0,0,0,1,2,2,1,0,2
213,0,2,0,0,1,0,0,0,1,2,2,1,1,2
214,0,3,1,0,0,1,0,0,1,1,2,1,0,3
215,1,1,1,0,0,1,0,0,0,0,1,1,3,0
216,1,3,0,0,1,0,0,0,0,2,1,1,1,3
217,0,2,1,0,0,1,0,0,1,2,2,2,2,3
218,1,1,0,0,1,0,0,0,0,0,1,1,3,0
219,0,2,0,0,1,0,0,0,1,2,2,1,1,2
220,1,3,0,0,1,0,0,0,1,2,2,0,1,1
221,0,2,0,0,1,0,0,0,1,2,2,1,1,1
222,0,3,0,0,1,0,0,0,1,2,2,3,1,4
223,0,3,0,0,1,0,0,0,1,2,2,1,0,3
224,1,1,1,0,0,1,0,0,1,2,2,2,3,1
225,0,3,0,0,1,0,0,0,1,2,2,1,1,2
226,1,2,0,0,1,0,0,0,1,2,2,1,1,1
227,0,3,0,0,1,0,0,0,1,2,2,1,0,2
228,0,2,0,0,1,0,0,0,1,2,2,1,1,1
229,0,3,3,1,0,0,0,1,0,2,1,1,2,3
230,1,1,1,0,0,1,0,0,0,2,3,2,3,0
231,0,3,0,0,1,0,0,0,1,2,2,1,0,4
232,0,2,0,0,1,0,0,0,1,2,2,3,1,4
233,1,3,4,2,0,0,0,1,0,2,1,0,3,0
234,0,2,0,0,1,0,0,0,1,2,2,1,1,1
235,0,3,0,0,1,0,0,0,0,2,1,1,0,3
236,0,2,1,0,0,1,0,0,1,2,2,2,2,4
237,1,2,0,2,0,0,1,0,0,2,1,0,2,0
238,0,2,0,0,1,0,0,0,1,2,2,1,1,1
239,0,2,0,0,1,0,0,0,1,2,2,2,1,2
240,0,3,1,0,0,1,0,0,0,0,1,1,1,3
241,1,3,1,0,0,1,0,0,0,1,1,1,2,3
242,0,2,0,0,1,0,0,0,1,2,2,1,1,2
243,0,3,0,0,1,0,0,0,1,2,2,1,0,2
244,0,3,0,0,1,0,0,0,1,0,2,1,0,4
245,0,1,2,0,0,0,1,0,1,1,4,2,3,1
246,0,3,0,0,1,0,0,0,0,2,1,1,0,3
247,1,2,0,2,0,0,1,0,0,2,3,1,2,1
248,1,1,1,1,0,0,1,0,1,2,2,2,3,1
249,0,2,1,0,0,1,0,0,1,2,4,3,2,4
250,0,3,0,0,1,0,0,0,1,2,2,1,0,3
251,0,3,1,1,0,0,1,0,0,2,3,1,1,4
252,0,1,0,0,1,0,0,0,1,2,2,3,2,2
253,0,3,1,0,0,1,0,0,1,2,2,1,2,4
254,0,3,0,2,0,0,1,0,0,2,3,2,2,4
255,1,3,0,2,0,0,1,0,0,0,3,1,2,4
256,1,1,0,0,1,0,0,0,0,0,3,1,3,0
257,1,1,0,0,1,0,0,0,0,2,1,1,3,0
258,1,1,0,0,1,0,0,0,0,0,1,2,3,0
259,1,2,0,1,0,1,0,0,0,2,3,3,2,4
260,0,3,0,0,1,0,0,0,1,1,2,1,0,3
261,1,3,4,2,0,0,0,1,1,2,0,0,3,0
262,0,1,1,1,0,0,1,0,1,2,2,3,3,1
263,0,1,0,0,1,0,0,0,1,2,2,2,0,1
264,0,3,0,0,1,0,0,0,0,1,1,1,0,3
265,0,2,0,0,1,0,0,0,1,2,2,2,1,2
266,0,3,4,1,0,0,0,1,1,2,2,0,3,1
267,1,3,1,0,0,1,0,0,1,2,2,1,0,3
268,1,1,0,1,0,1,0,0,0,2,3,3,3,2
269,1,1,0,0,1,0,0,0,0,2,1,2,3,0
270,0,1,0,0,1,0,0,0,1,2,2,1,2,0
271,1,3,0,0,1,0,0,0,1,2,2,1,0,3
272,1,2,0,1,0,1,0,0,0,2,3,2,2,3
273,0,1,0,1,0,1,0,0,1,0,2,2,2,1
274,1,3,0,0,1,0,0,0,0,1,1,1,0,3
275,1,1,1,0,0,1,0,0,0,2,1,3,3,2
276,0,3,0,0,1,0,0,0,0,2,1,2,0,4
277,0,2,0,0,1,0,0,0,1,2,2,1,0,2
278,0,3,4,1,0,0,0,1,1,1,0,0,2,0
279,1,3,1,1,0,0,1,0,0,2,3,2,2,4
280,0,3,0,0,1,0,0,0,1,1,2,4,0,4
281,0,3,0,0,1,0,0,0,1,2,2,1,0,3
282,0,3,0,0,1,0,0,0,1,2,2,0,1,1
283,1,3,0,0,1,0,0,0,1,2,2,1,1,2
284,0,1,0,0,1,0,0,0,1,2,2,1,2,0
285,0,3,0,0,1,0,0,0,1,0,2,2,1,4
286,1,3,0,0,1,0,0,0,1,2,2,1,1,4
287,0,3,0,0,1,0,0,0,1,2,2,1,0,2
288,1,2,0,0,1,0,0,0,1,2,2,2,1,3
289,1,3,0,0,1,0,0,0,0,1,1,1,0,2
290,1,1,0,0,1,0,0,0,0,2,1,1,3,0
291,1,1,1,0,0,1,0,0,0,0,3,1,3,0
292,0,2,0,0,1,0,0,0,1,0,2,2,1,2
293,0,3,0,0,1,0,0,0,0,2,1,1,1,2
294,0,3,0,0,1,0,0,0,1,2,2,1,0,2
295,0,1,0,0,1,0,0,0,1,0,2,1,2,0
296,0,3,0,0,1,0,0,0,1,0,2,1,0,2
297,0,1,1,2,0,0,1,0,0,2,1,0,3,0
298,1,1,0,0,1,0,0,0,1,2,2,1,2,0
299,1,1,0,1,0,1,0,0,0,0,3,3,3,1
300,1,3,0,0,1,0,0,0,0,1,1,1,0,3
301,1,3,2,0,0,0,1,0,1,1,2,1,2,3
302,0,3,0,0,1,0,0,0,1,2,2,1,0,2
303,1,2,0,0,1,0,0,0,0,1,1,1,1,2
304,0,3,0,0,1,0,0,0,1,2,2,1,1,3
305,1,1,1,2,0,0,1,0,1,2,0,0,3,0
306,1,1,0,0,1,0,0,0,0,0,1,1,3,0
307,1,1,1,0,0,1,0,0,0,0,3,1,3,0
308,0,2,1,0,0,1,0,0,1,0,2,1,2,2
309,1,1,0,0,1,0,0,0,0,0,1,1,3,0
310,1,1,0,0,1,0,0,0,0,0,1,1,3,0
311,1,1,2,2,0,0,0,1,0,0,1,1,3,0
312,0,2,1,1,0,0,1,0,0,2,3,1,2,1
313,0,3,0,0,1,0,0,0,1,2,2,1,0,3
314,0,2,1,1,0,0,1,0,1,2,2,2,2,4
315,1,3,0,0,1,0,0,0,0,2,1,1,0,3
316,1,2,1,0,0,1,0,0,0,2,3,1,2,1
317,0,2,0,0,1,0,0,0,1,2,4,3,1,4
318,1,1,0,2,0,0,1,0,0,2,1,1,3,0
319,1,1,1,1,0,0,1,0,0,0,3,2,3,1
320,0,3,0,0,1,0,0,0,1,2,2,1,0,2
321,0,3,0,0,1,0,0,0,1,2,2,1,0,3
322,1,2,0,0,1,0,0,0,0,1,1,1,1,2
323,1,2,1,1,0,0,1,0,0,2,3,1,2,1
324,0,3,8,2,0,0,0,1,1,2,2,1,3,3
325,1,1,0,0,1,0,0,0,0,0,1,2,3,1
326,0,3,0,0,1,0,0,0,1,2,2,3,0,4
327,1,2,0,0,1,0,0,0,0,2,3,2,1,2
328,1,3,1,1,0,0,1,0,0,2,3,1,2,4
329,1,1,0,1,0,1,0,0,0,0,1,0,3,0
330,1,3,2,0,0,0,1,0,0,1,1,1,2,3
331,0,1,0,0,1,0,0,0,1,2,2,2,2,1
332,0,1,0,1,0,1,0,0,1,2,2,2,3,1
333,0,3,2,0,0,0,1,0,1,2,2,0,2,1
334,1,1,1,0,0,1,0,0,0,2,3,1,3,0
335,0,3,0,0,1,0,0,0,1,2,2,1,0,3
336,0,1,1,0,0,1,0,0,1,2,2,1,3,0
337,1,1,0,0,1,0,0,0,0,0,1,2,3,1
338,1,3,0,0,1,0,0,0,1,2,2,2,1,4
339,0,1,0,0,1,0,0,0,1,2,2,2,3,1
340,1,2,1,1,0,0,1,0,1,2,0,0,2,0
341,1,1,3,2,0,0,0,1,0,2,1,1,3,0
342,0,2,0,0,1,0,0,0,1,2,2,1,1,2
343,0,2,0,0,1,0,0,0,1,2,2,1,1,1
344,0,2,0,0,1,0,0,0,1,2,2,2,1,2
345,1,2,0,0,1,0,0,0,0,2,1,1,1,1
346,1,2,0,0,1,0,0,0,0,2,1,2,1,3
347,1,3,1,0,0,1,0,0,0,2,3,1,2,3
348,1,3,1,1,0,0,1,0,1,2,0,0,2,0
349,0,3,0,0,1,0,0,0,1,2,2,2,1,4
350,0,3,0,0,1,0,0,0,1,2,2,1,1,2
351,0,1,0,0,1,0,0,0,1,2,2,1,3,0
352,0,3,1,1,0,0,1,0,1,0,2,0,0,1
353,0,3,1,0,0,1,0,0,1,2,2,1,2,3
354,0,3,0,0,1,0,0,0,1,0,2,1,0,3
355,0,3,0,0,1,0,0,0,1,2,2,1,1,3
356,1,1,0,1,0,1,0,0,0,2,1,1,3,0
357,0,2,0,0,1,0,0,0,0,2,1,2,1,3
358,1,3,0,0,1,0,0,0,0,1,1,1,0,3
359,1,3,0,0,1,0,0,0,0,1,1,1,0,3
360,0,3,1,4,0,0,0,1,1,2,2,2,2,4
361,0,2,1,0,0,1,0,0,1,0,2,1,2,2
362,0,3,0,1,0,1,0,0,0,0,3,2,1,4
363,0,3,0,0,1,0,0,0,1,2,2,2,0,4
364,0,3,1,0,0,1,0,0,1,1,2,1,2,3
365,0,3,0,0,1,0,0,0,1,2,2,1,0,4
366,1,1,1,0,0,1,0,0,0,0,3,3,3,2
367,1,3,0,0,1,0,0,0,0,0,3,1,0,3
368,1,3,0,0,1,0,0,0,0,1,1,1,0,3
369,1,1,0,0,1,0,0,0,0,0,3,1,3,0
370,1,1,1,0,0,1,0,0,1,0,2,1,3,0
371,0,3,1,0,0,1,0,0,1,2,2,1,0,1
372,0,3,0,0,1,0,0,0,1,2,2,1,1,2
373,0,1,0,0,1,0,0,0,1,0,2,1,3,0
374,0,3,3,1,0,0,0,1,0,2,1,0,2,0
375,1,1,1,0,0,1,0,0,0,0,3,1,3,0
376,1,3,0,0,1,0,0,0,0,2,1,1,0,2
377,0,1,0,2,0,0,1,0,1,0,2,1,3,0
378,0,3,0,0,1,0,0,0,1,0,2,1,0,2
379,0,3,0,0,1,0,0,0,1,2,2,1,0,2
380,1,1,0,0,1,0,0,0,0,0,1,2,3,1
381,1,3,0,2,0,0,1,0,0,0,1,0,2,0
382,0,3,0,0,1,0,0,0,1,2,2,1,1,4
383,1,1,1,0,0,1,0,0,0,2,3,2,3,0
384,0,3,0,0,1,0,0,0,1,2,2,1,0,3
385,0,2,0,0,1,0,0,0,1,2,2,1,3,1
386,0,3,5,2,0,0,0,1,1,2,0,0,3,0
387,1,2,0,0,1,0,0,0,0,2,1,2,1,2
388,0,3,0,0,1,0,0,0,1,1,2,1,0,3
389,1,2,0,0,1,0,0,0,0,0,1,1,1,0
390,1,1,1,2,0,0,1,0,1,2,2,2,3,1
391,1,3,0,0,1,0,0,0,1,2,2,1,0,2
392,0,3,2,0,0,0,1,0,1,2,2,1,1,3
393,1,1,1,0,0,1,0,0,0,0,1,1,3,0
394,1,3,0,2,0,0,1,0,0,2,3,1,2,2
395,0,3,0,0,1,0,0,0,1,2,2,1,0,2
396,0,3,0,0,1,0,0,0,0,2,1,1,0,4
397,0,2,0,0,1,0,0,0,1,2,2,2,2,4
398,0,2,0,0,1,0,0,0,1,2,4,1,1,1
399,1,2,0,0,1,0,0,0,0,2,3,1,1,2
400,1,3,0,0,1,0,0,0,1,2,2,2,1,4
401,0,3,0,0,1,0,0,0,1,2,2,1,1,3
402,0,3,1,0,0,1,0,0,0,2,1,1,1,2
403,0,3,1,0,0,1,0,0,1,2,2,1,2,3
404,0,3,0,0,1,0,0,0,0,2,1,1,1,2
405,0,2,1,0,0,1,0,0,1,2,2,2,2,2
406,0,3,0,0,1,0,0,0,1,2,2,3,0,4
407,1,2,1,1,0,0,1,0,1,2,0,0,2,0
408,0,3,0,0,1,0,0,0,1,2,2,1,0,2
409,0,3,3,1,0,0,0,1,0,2,1,1,2,3
410,0,3,0,0,1,0,0,0,1,2,2,1,0,3
411,0,3,0,0,1,0,0,0,1,1,2,1,0,3
412,1,1,1,0,0,1,0,0,0,1,1,2,3,0
413,0,2,0,0,1,0,0,0,1,2,2,1,0,2
414,1,3,0,0,1,0,0,0,1,2,2,2,1,4
415,0,3,0,0,1,0,0,0,0,2,3,1,1,3
416,1,2,1,1,0,0,1,0,0,2,3,2,3,2
417,1,2,0,2,0,0,1,0,0,2,1,1,1,1
418,0,2,0,0,1,0,0,0,1,2,2,1,1,2
419,0,3,0,2,0,0,1,0,0,2,1,0,2,0
420,0,3,0,0,1,0,0,0,1,0,2,1,0,3
421,0,3,0,0,1,0,0,0,1,1,2,1,0,2
422,0,3,0,0,1,0,0,0,1,2,2,1,0,4
423,0,3,1,1,0,0,1,0,0,2,3,1,1,3
424,0,3,1,1,0,0,1,0,1,2,2,1,2,1
425,0,3,0,0,1,0,0,0,1,2,2,1,0,3
426,1,2,1,0,0,1,0,0,0,2,3,1,2,2
427,1,2,0,0,1,0,0,0,0,2,1,1,2,1
428,0,3,0,0,1,0,0,0,1,1,2,1,0,3
429,1,3,0,0,1,0,0,0,1,2,2,1,1,4
430,1,1,0,0,1,0,0,0,1,2,2,1,2,0
431,1,3,1,0,0,1,0,0,0,2,3,1,2,3
432,1,2,1,0,0,1,0,0,0,2,3,2,2,3
433,0,3,0,0,1,0,0,0,1,2,2,1,0,1
434,0,1,1,0,0,1,0,0,1,2,2,3,3,1
435,1,1,1,2,0,0,1,0,0,2,1,0,3,0
436,0,3,2,2,0,0,0,1,0,2,1,1,3,2
437,1,2,2,3,0,0,0,1,0,2,3,1,2,1
438,0,1,1,4,0,0,0,1,1,2,2,3,3,2
439,0,2,0,0,1,0,0,0,1,2,2,1,1,2
440,1,2,1,1,0,0,1,0,0,2,3,2,2,4
441,0,3,0,0,1,0,0,0,1,2,2,1,1,2
442,0,3,1,0,0,1,0,0,1,2,2,1,0,3
443,1,2,0,0,1,0,0,0,0,2,1,1,1,2
444,1,3,0,0,1,0,0,0,1,2,2,1,1,3
445,1,1,0,2,0,0,1,0,1,2,0,0,3,0
446,1,2,0,1,0,1,0,0,0,2,1,0,2,0
447,1,1,0,0,1,0,0,0,1,2,2,2,2,0
448,1,3,2,1,0,0,1,0,0,0,1,0,2,0
449,1,1,0,0,1,0,0,0,1,2,4,3,2,1
450,0,2,1,2,0,0,1,0,1,2,2,2,2,2
451,0,3,1,0,0,1,0,0,1,2,2,1,2,3
452,0,1,0,0,1,0,0,0,1,0,2,1,2,0
453,1,1,1,0,0,1,0,0,1,0,2,3,3,1
454,0,3,0,0,1,0,0,0,1,2,2,1,1,3
455,1,3,0,0,1,0,0,0,1,0,2,1,0,4
456,0,1,0,0,1,0,0,0,1,2,2,4,2,2
457,1,1,1,0,0,1,0,0,0,2,3,1,3,0
458,1,2,0,0,1,0,0,0,0,2,1,3,1,4
459,0,3,0,0,1,0,0,0,1,1,2,1,0,3
460,1,1,0,0,1,0,0,0,1,2,2,2,2,1
