,Survived,Pclass,Age,SibSp,Parch,Fare,Single,SmallF,MedF,LargeF,AClass,Sex_code,Embarked_code,Title_code
87,0,3,28.0,0,0,2.2027647577118348,1,0,0,0,84.0,1,2,2
88,1,1,23.0,3,2,5.575949103146316,0,0,0,1,23.0,0,2,1
89,0,3,24.0,0,0,2.2027647577118348,1,0,0,0,72.0,1,2,2
90,0,3,29.0,0,0,2.2027647577118348,1,0,0,0,87.0,1,2,2
91,0,3,20.0,0,0,2.180891922715322,1,0,0,0,60.0,1,2,2
92,0,1,46.0,1,0,4.1299529896894684,0,1,0,0,46.0,1,2,2
93,0,3,26.0,1,2,3.0715352369694915,0,0,1,0,78.0,1,2,2
94,0,3,59.0,0,0,2.1102132003465894,1,0,0,0,177.0,1,2,2
95,0,3,28.0,0,0,2.2027647577118348,1,0,0,0,84.0,1,2,2
96,0,1,71.0,0,0,3.57386695198272,1,0,0,0,71.0,1,0,2
97,1,1,23.0,0,1,4.164465907853638,0,1,0,0,23.0,1,0,2
98,1,2,34.0,0,1,3.1780538303479458,0,1,0,0,68.0,0,2,3
99,0,2,34.0,1,0,3.295836866004329,0,1,0,0,68.0,1,2,2
100,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,0,2,1
101,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
102,0,1,21.0,0,1,4.360387947851531,0,1,0,0,21.0,1,2,2
103,0,3,33.0,0,0,2.267393053825037,1,0,0,0,99.0,1,2,2
104,0,3,37.0,2,0,2.188856327665703,0,0,1,0,111.0,1,2,2
105,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
106,1,3,21.0,0,0,2.157559320943788,1,0,0,0,63.0,0,2,1
107,1,3,28.0,0,0,2.1719067693519296,1,0,0,0,84.0,1,2,2
108,0,3,38.0,0,0,2.1855792552411137,1,0,0,0,114.0,1,2,2
109,1,3,28.0,1,0,3.224857896545748,0,1,0,0,84.0,0,1,1
110,0,1,47.0,0,0,3.970291913552122,1,0,0,0,47.0,1,2,2
111,0,3,14.5,1,0,2.737880811060884,0,1,0,0,43.5,0,0,1
112,0,3,22.0,0,0,2.2027647577118348,1,0,0,0,66.0,1,2,2
113,0,3,20.0,1,0,2.3818582738885534,0,1,0,0,60.0,0,2,1
114,0,3,17.0,0,0,2.738146075922933,1,0,0,0,51.0,0,0,1
115,0,3,21.0,0,0,2.188856327665703,1,0,0,0,63.0,1,2,2
116,0,3,70.5,0,0,2.169053700369523,1,0,0,0,211.5,1,1,2
117,0,2,29.0,1,0,3.091042453358316,0,1,0,0,58.0,1,2,2
118,0,1,24.0,0,1,5.515526544247129,0,1,0,0,24.0,1,0,2
119,0,3,2.0,4,2,3.4742929367327062,0,0,0,1,6.0,0,2,1
120,0,2,21.0,2,0,4.310799125385514,0,0,1,0,42.0,1,2,2
121,0,3,28.0,0,0,2.2027647577118348,1,0,0,0,84.0,1,2,2
122,0,2,32.5,1,0,3.436268471383741,0,1,0,0,65.0,1,0,2
123,1,2,32.5,0,0,2.6390573296152584,1,0,0,0,65.0,0,2,1
124,0,1,54.0,0,1,4.360387947851531,0,1,0,0,54.0,1,2,2
125,1,3,12.0,1,0,2.5048481563289,0,1,0,0,36.0,1,0,0
126,0,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,1,1,2
127,1,3,24.0,0,0,2.0969990034181696,1,0,0,0,72.0,1,2,2
128,1,3,28.0,1,1,3.1509523813392697,0,0,1,0,84.0,0,0,1
129,0,3,45.0,0,0,2.076311648670908,1,0,0,0,135.0,1,2,2
130,0,3,33.0,0,0,2.1855792552411137,1,0,0,0,99.0,1,0,2
131,0,3,20.0,0,0,2.0856720914304723,1,0,0,0,60.0,1,2,2
132,0,3,47.0,1,0,2.740840023925201,0,1,0,0,141.0,0,2,3
133,1,2,29.0,1,0,3.295836866004329,0,1,0,0,58.0,0,2,3
134,0,2,25.0,0,0,2.6390573296152584,1,0,0,0,50.0,1,2,2
135,0,2,23.0,0,0,2.775447133088262,1,0,0,0,46.0,1,0,2
136,1,1,19.0,0,2,3.3062747934011893,0,0,1,0,19.0,0,2,1
137,0,1,37.0,1,0,3.9908341858524357,0,1,0,0,37.0,1,2,2
138,0,3,16.0,0,0,2.3240236363515288,1,0,0,0,48.0,1,2,2
139,0,1,24.0,0,0,4.384523514872469,1,0,0,0,24.0,1,0,2
140,0,3,28.0,0,2,2.7878344138303452,0,0,1,0,84.0,0,0,3
141,1,3,22.0,0,0,2.169053700369523,1,0,0,0,66.0,0,2,1
142,1,3,24.0,1,0,2.8243506567983707,0,1,0,0,72.0,0,2,3
143,0,3,19.0,0,0,2.0476928433652555,1,0,0,0,57.0,1,1,2
144,0,2,18.0,0,0,2.5257286443082556,1,0,0,0,36.0,1,2,2
145,0,2,19.0,1,1,3.6309854756950335,0,0,1,0,38.0,1,2,2
146,1,3,27.0,0,0,2.174274334826008,1,0,0,0,81.0,1,2,2
147,0,3,9.0,2,2,3.5660053559634015,0,0,0,1,27.0,0,2,1
148,0,2,36.5,0,2,3.295836866004329,0,0,1,0,73.0,1,2,2
149,0,2,42.0,0,0,2.6390573296152584,1,0,0,0,84.0,1,2,4
150,0,2,51.0,0,0,2.6045398247325453,1,0,0,0,102.0,1,2,4
151,1,1,22.0,1,0,4.213607983048918,0,1,0,0,22.0,0,2,3
152,0,3,55.5,0,0,2.2027647577118348,1,0,0,0,166.5,1,2,2
153,0,3,40.5,0,2,2.740840023925201,0,0,1,0,121.5,1,2,2
154,0,3,28.0,0,0,2.1177604059819726,1,0,0,0,84.0,1,2,2
155,0,1,51.0,0,1,4.133231886474144,0,1,0,0,51.0,1,0,2
156,1,3,16.0,0,0,2.167143305297764,1,0,0,0,48.0,0,1,1
157,0,3,30.0,0,0,2.2027647577118348,1,0,0,0,90.0,1,2,2
158,0,3,28.0,0,0,2.2682524139135403,1,0,0,0,84.0,1,2,2
159,0,3,28.0,8,2,4.256321678298823,0,0,0,1,84.0,1,2,0
160,0,3,44.0,0,1,2.8390784635086144,0,1,0,0,132.0,1,2,2
161,1,2,40.0,0,0,2.8183982582710754,1,0,0,0,80.0,0,2,3
162,0,3,26.0,0,0,2.1719067693519296,1,0,0,0,78.0,1,2,2
163,0,3,17.0,0,0,2.2682524139135403,1,0,0,0,51.0,1,2,2
164,0,3,1.0,4,1,3.705920919968788,0,0,0,1,3.0,1,2,0
165,1,3,9.0,0,2,3.0692150503137943,0,0,1,0,27.0,1,2,0
166,1,1,28.0,0,1,4.02535169073515,0,1,0,0,28.0,0,2,3
167,0,3,45.0,1,4,3.3638415951183864,0,0,0,1,135.0,0,2,3
168,0,1,28.0,0,0,3.2930552230424524,1,0,0,0,28.0,1,2,2
169,0,3,28.0,0,0,4.05171190165724,1,0,0,0,84.0,1,2,2
170,0,1,61.0,0,0,3.5409593240373143,1,0,0,0,61.0,1,2,2
171,0,3,4.0,4,1,3.405355391810819,0,0,0,1,12.0,1,1,0
172,1,3,1.0,1,1,2.495953738718064,0,0,1,0,3.0,0,2,1
173,0,3,21.0,0,0,2.188856327665703,1,0,0,0,63.0,1,2,2
174,0,1,56.0,0,0,3.4561841799918147,1,0,0,0,56.0,1,0,2
175,0,3,18.0,1,1,2.180891922715322,0,0,1,0,54.0,1,2,2
176,0,3,28.0,3,1,3.275887339030031,0,0,0,1,84.0,1,2,0
177,0,1,50.0,0,0,3.391567832686312,1,0,0,0,50.0,0,0,1
178,0,2,30.0,0,0,2.6390573296152584,1,0,0,0,60.0,1,2,2
179,0,3,36.0,0,0,0.0,1,0,0,0,108.0,1,2,2
180,0,3,28.0,8,2,4.256321678298823,0,0,0,1,84.0,0,2,1
181,0,2,28.0,0,0,2.775708849576025,1,0,0,0,56.0,1,0,2
182,0,3,9.0,4,2,3.4777725458882283,0,0,0,1,27.0,1,2,0
183,1,2,1.0,2,1,3.6888794541139363,0,0,1,0,2.0,1,2,0
184,1,3,4.0,0,2,3.1365805821413706,0,0,1,0,12.0,0,2,1
185,0,1,28.0,0,0,3.9318256327243257,1,0,0,0,28.0,1,2,2
186,1,3,28.0,1,0,2.803360380906535,0,1,0,0,84.0,0,1,3
187,1,1,45.0,0,0,3.3160025355989236,1,0,0,0,45.0,1,2,2
188,0,3,40.0,1,1,2.803360380906535,0,0,1,0,120.0,1,1,2
189,0,3,36.0,0,0,2.1855792552411137,1,0,0,0,108.0,1,2,2
190,1,2,32.0,0,0,2.6390573296152584,1,0,0,0,64.0,0,2,3
191,0,2,19.0,0,0,2.6390573296152584,1,0,0,0,38.0,1,2,2
192,1,3,19.0,1,0,2.180891922715322,0,1,0,0,57.0,0,2,1
193,1,2,3.0,1,1,3.295836866004329,0,0,1,0,6.0,1,2,0
194,1,1,44.0,0,0,3.357621598945279,1,0,0,0,44.0,0,0,3
195,1,1,58.0,0,0,4.993969182787072,1,0,0,0,58.0,0,0,1
196,0,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,1,1,2
197,0,3,42.0,0,1,2.2411563979973974,0,1,0,0,126.0,1,2,2
198,1,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,0,1,1
199,0,2,24.0,0,0,2.6390573296152584,1,0,0,0,48.0,0,2,1
200,0,3,28.0,0,0,2.3513752571634776,1,0,0,0,84.0,1,2,2
201,0,3,28.0,8,2,4.256321678298823,0,0,0,1,84.0,1,2,2
202,0,3,34.0,0,0,2.0143428636837015,1,0,0,0,102.0,1,2,2
203,0,3,45.5,0,0,2.1071782966514356,1,0,0,0,136.5,1,0,2
204,1,3,18.0,0,0,2.2027647577118348,1,0,0,0,54.0,1,2,2
205,0,3,2.0,0,1,2.4390808375825834,0,1,0,0,6.0,0,2,1
206,0,3,32.0,1,0,2.8243506567983707,0,1,0,0,96.0,1,2,2
207,1,3,26.0,0,0,2.9850504252071306,1,0,0,0,78.0,1,0,2
208,1,3,16.0,0,0,2.169053700369523,1,0,0,0,48.0,0,1,1
209,1,1,40.0,0,0,3.4657359027997265,1,0,0,0,40.0,1,0,2
210,0,3,24.0,0,0,2.0856720914304723,1,0,0,0,72.0,1,2,2
211,1,2,35.0,0,0,3.091042453358316,1,0,0,0,70.0,0,2,1
212,0,3,22.0,0,0,2.1102132003465894,1,0,0,0,66.0,1,2,2
213,0,2,30.0,0,0,2.6390573296152584,1,0,0,0,60.0,1,2,2
214,0,3,28.0,1,0,2.169053700369523,0,1,0,0,84.0,1,1,2
215,1,1,31.0,1,0,4.738607824217808,0,1,0,0,31.0,0,0,1
216,1,3,27.0,0,0,2.188856327665703,1,0,0,0,81.0,0,2,1
217,0,2,42.0,1,0,3.332204510175204,0,1,0,0,84.0,1,2,2
218,1,1,32.0,0,0,4.347586575960343,1,0,0,0,32.0,0,0,1
219,0,2,30.0,0,0,2.4423470353692043,1,0,0,0,60.0,1,2,2
220,1,3,16.0,0,0,2.2027647577118348,1,0,0,0,48.0,1,2,2
221,0,2,27.0,0,0,2.6390573296152584,1,0,0,0,54.0,1,2,2
222,0,3,51.0,0,0,2.2027647577118348,1,0,0,0,153.0,1,2,2
223,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
224,1,1,38.0,1,0,4.51085950651685,0,1,0,0,38.0,1,2,2
225,0,3,22.0,0,0,2.336986519711378,1,0,0,0,66.0,1,2,2
226,1,2,19.0,0,0,2.4423470353692043,1,0,0,0,38.0,1,2,2
227,0,3,20.5,0,0,2.1102132003465894,1,0,0,0,61.5,1,2,2
228,0,2,18.0,0,0,2.6390573296152584,1,0,0,0,36.0,1,2,2
229,0,3,28.0,3,1,3.275887339030031,0,0,0,1,84.0,0,2,1
230,1,1,35.0,1,0,4.436455632600354,0,1,0,0,35.0,0,2,3
231,0,3,29.0,0,0,2.1719067693519296,1,0,0,0,87.0,1,2,2
232,0,2,59.0,0,0,2.6741486494265287,1,0,0,0,118.0,1,2,2
233,1,3,5.0,4,2,3.4777725458882283,0,0,0,1,15.0,0,2,1
234,0,2,24.0,0,0,2.4423470353692043,1,0,0,0,48.0,1,2,2
235,0,3,28.0,0,0,2.145931282948669,1,0,0,0,84.0,0,2,1
236,0,2,44.0,1,0,3.295836866004329,0,1,0,0,88.0,1,2,2
237,1,2,8.0,0,2,3.305053521109253,0,0,1,0,16.0,0,2,1
238,0,2,19.0,0,0,2.4423470353692043,1,0,0,0,38.0,1,2,2
239,0,2,33.0,0,0,2.5858825671280026,1,0,0,0,66.0,1,2,2
240,0,3,28.0,1,0,2.737880811060884,0,1,0,0,84.0,0,0,1
241,1,3,28.0,1,0,2.803360380906535,0,1,0,0,84.0,0,1,1
242,0,2,29.0,0,0,2.4423470353692043,1,0,0,0,58.0,1,2,2
243,0,3,22.0,0,0,2.094945728215801,1,0,0,0,66.0,1,2,2
244,0,3,30.0,0,0,2.1071782966514356,1,0,0,0,90.0,1,0,2
245,0,1,44.0,2,0,4.51085950651685,0,0,1,0,44.0,1,1,4
246,0,3,25.0,0,0,2.1719067693519296,1,0,0,0,75.0,0,2,1
247,1,2,24.0,0,2,2.740840023925201,0,0,1,0,48.0,0,2,3
248,1,1,37.0,1,1,3.9806942251907276,0,0,1,0,37.0,1,2,2
249,0,2,54.0,1,0,3.295836866004329,0,1,0,0,108.0,1,2,4
250,0,3,28.0,0,0,2.1102132003465894,1,0,0,0,84.0,1,2,2
251,0,3,29.0,1,1,2.4390808375825834,0,0,1,0,87.0,0,2,3
252,0,1,62.0,0,0,3.3160025355989236,1,0,0,0,62.0,1,2,2
253,0,3,30.0,1,0,2.8390784635086144,0,1,0,0,90.0,1,2,2
254,0,3,41.0,0,2,3.0545906305603445,0,0,1,0,123.0,0,2,3
255,1,3,29.0,0,2,2.7878344138303452,0,0,1,0,87.0,0,0,3
256,1,1,28.0,0,0,4.384523514872469,1,0,0,0,28.0,0,0,3
257,1,1,30.0,0,0,4.471638793363569,1,0,0,0,30.0,0,2,1
258,1,1,35.0,0,0,6.240917354759096,1,0,0,0,35.0,0,0,1
259,1,2,50.0,0,1,3.295836866004329,0,1,0,0,100.0,0,2,3
260,0,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,1,1,2
261,1,3,3.0,4,2,3.4777725458882283,0,0,0,1,9.0,1,2,0
262,0,1,52.0,1,1,4.390118804571218,0,0,1,0,52.0,1,2,2
263,0,1,40.0,0,0,0.0,1,0,0,0,40.0,1,2,2
264,0,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,0,1,1
265,0,2,36.0,0,0,2.4423470353692043,1,0,0,0,72.0,1,2,2
266,0,3,16.0,4,1,3.705920919968788,0,0,0,1,48.0,1,2,2
267,1,3,25.0,1,0,2.1719067693519296,0,1,0,0,75.0,1,2,2
268,1,1,58.0,0,1,5.039951348430309,0,1,0,0,58.0,0,2,3
269,1,1,35.0,0,0,4.91730069488021,1,0,0,0,35.0,0,2,1
270,0,1,28.0,0,0,3.4657359027997265,1,0,0,0,28.0,1,2,2
271,1,3,25.0,0,0,0.0,1,0,0,0,75.0,1,2,2
272,1,2,41.0,0,1,3.0204248861443626,0,1,0,0,82.0,0,2,3
273,0,1,37.0,0,1,3.4242626545931514,0,1,0,0,37.0,1,0,2
274,1,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,0,1,1
275,1,1,63.0,1,0,4.368919865004903,0,1,0,0,63.0,0,2,1
276,0,3,45.0,0,0,2.169053700369523,1,0,0,0,135.0,0,2,1
277,0,2,28.0,0,0,0.0,1,0,0,0,56.0,1,2,2
278,0,3,7.0,4,1,3.405355391810819,0,0,0,1,21.0,1,1,0
279,1,3,35.0,1,1,3.056356895370426,0,0,1,0,105.0,0,2,3
280,0,3,65.0,0,0,2.169053700369523,1,0,0,0,195.0,1,1,2
281,0,3,28.0,0,0,2.180891922715322,1,0,0,0,84.0,1,2,2
282,0,3,16.0,0,0,2.3513752571634776,1,0,0,0,48.0,1,2,2
283,1,3,19.0,0,0,2.2027647577118348,1,0,0,0,57.0,1,2,2
284,0,1,28.0,0,0,3.295836866004329,1,0,0,0,28.0,1,2,2
285,0,3,33.0,0,0,2.2682524139135403,1,0,0,0,99.0,1,0,2
286,1,3,30.0,0,0,2.3513752571634776,1,0,0,0,90.0,1,2,2
287,0,3,22.0,0,0,2.1855792552411137,1,0,0,0,66.0,1,2,2
288,1,2,42.0,0,0,2.6390573296152584,1,0,0,0,84.0,1,2,2
289,1,3,22.0,0,0,2.169053700369523,1,0,0,0,66.0,0,1,1
290,1,1,26.0,0,0,4.380149874661021,1,0,0,0,26.0,0,2,1
291,1,1,19.0,1,0,4.5226490762785785,0,1,0,0,19.0,0,0,3
292,0,2,36.0,0,0,2.630088659632498,1,0,0,0,72.0,1,0,2
293,0,3,24.0,0,0,2.2874714551839976,1,0,0,0,72.0,0,2,1
294,0,3,24.0,0,0,2.1855792552411137,1,0,0,0,72.0,1,2,2
295,0,1,28.0,0,0,3.357621598945279,1,0,0,0,28.0,1,0,2
296,0,3,23.5,0,0,2.1076888046179385,1,0,0,0,70.5,1,0,2
297,0,1,2.0,1,2,5.027492411162679,0,0,1,0,2.0,0,2,1
298,1,1,28.0,0,0,3.449987545831587,1,0,0,0,28.0,1,2,2
299,1,1,50.0,0,1,5.515526544247129,0,1,0,0,50.0,0,0,3
300,1,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,0,1,1
301,1,3,28.0,2,0,3.188416617383492,0,0,1,0,84.0,1,1,2
302,0,3,19.0,0,0,0.0,1,0,0,0,57.0,1,2,2
303,1,2,28.0,0,0,2.5915163848462583,1,0,0,0,56.0,0,1,1
304,0,3,28.0,0,0,2.2027647577118348,1,0,0,0,84.0,1,2,2
305,1,1,0.92,1,2,5.027492411162679,0,0,1,0,0.92,1,2,0
306,1,1,28.0,0,0,4.717456363787216,1,0,0,0,28.0,0,0,1
307,1,1,17.0,1,0,4.699570861409576,0,1,0,0,17.0,0,0,3
308,0,2,30.0,1,0,3.2188758248682006,0,1,0,0,60.0,1,0,2
309,1,1,30.0,0,0,4.0592215752427645,1,0,0,0,30.0,0,0,1
310,1,1,24.0,0,0,4.432699549165613,1,0,0,0,24.0,0,0,1
311,1,1,18.0,2,2,5.5735788721243535,0,0,0,1,18.0,0,0,1
312,0,2,26.0,1,1,3.295836866004329,0,0,1,0,52.0,0,2,3
313,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
314,0,2,43.0,1,1,3.305053521109253,0,0,1,0,86.0,1,2,2
315,1,3,26.0,0,0,2.180891922715322,1,0,0,0,78.0,0,2,1
316,1,2,24.0,1,0,3.295836866004329,0,1,0,0,48.0,0,2,3
317,0,2,54.0,0,0,2.70805020110221,1,0,0,0,108.0,1,2,4
318,1,1,31.0,0,2,5.11118445372147,0,0,1,0,31.0,0,2,1
319,1,1,40.0,1,1,4.908971640319756,0,0,1,0,40.0,0,0,3
320,0,3,22.0,0,0,2.1102132003465894,1,0,0,0,66.0,1,2,2
321,0,3,27.0,0,0,2.1855792552411137,1,0,0,0,81.0,1,2,2
322,1,2,30.0,0,0,2.5915163848462583,1,0,0,0,60.0,0,1,1
323,1,2,22.0,1,1,3.4011973816621555,0,0,1,0,44.0,0,2,3
324,0,3,28.0,8,2,4.256321678298823,0,0,0,1,84.0,1,2,2
325,1,1,36.0,0,0,4.91730069488021,1,0,0,0,36.0,0,0,1
326,0,3,61.0,0,0,1.9792758428991135,1,0,0,0,183.0,1,2,2
327,1,2,36.0,0,0,2.6390573296152584,1,0,0,0,72.0,0,2,3
328,1,3,31.0,1,1,3.0692150503137943,0,0,1,0,93.0,0,2,3
329,1,1,16.0,0,1,4.077184839375167,0,1,0,0,16.0,0,0,1
330,1,3,28.0,2,0,3.188416617383492,0,0,1,0,84.0,0,1,1
331,0,1,45.5,0,0,3.3843902633457743,1,0,0,0,45.5,1,2,2
332,0,1,38.0,0,1,5.039951348430309,0,1,0,0,38.0,1,2,2
333,0,3,16.0,2,0,2.9444389791664403,0,0,1,0,48.0,1,2,2
334,1,1,28.0,1,0,4.902678819257608,0,1,0,0,28.0,0,2,3
335,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
336,0,1,29.0,1,0,4.213607983048918,0,1,0,0,29.0,1,2,2
337,1,1,41.0,0,0,4.908971640319756,1,0,0,0,41.0,0,0,1
338,1,3,45.0,0,0,2.2027647577118348,1,0,0,0,135.0,1,2,2
339,0,1,45.0,0,0,3.597312260588446,1,0,0,0,45.0,1,2,2
340,1,2,2.0,1,1,3.295836866004329,0,0,1,0,4.0,1,2,0
341,1,1,24.0,3,2,5.575949103146316,0,0,0,1,24.0,0,2,1
